[29-Mar-2014 16:43:48 UTC] PHP Parse error:  syntax error, unexpected '"', expecting ',' or ';' in C:\Apache24\htdocs\proj1\book.php on line 37
[20-Apr-2014 08:10:09 UTC] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in C:\Apache24\htdocs\proj1\index.php on line 145
[20-Apr-2014 08:10:28 UTC] PHP Fatal error:  Call-time pass-by-reference has been removed in C:\Apache24\htdocs\proj1\index.php on line 166
[20-Apr-2014 08:10:57 UTC] PHP Fatal error:  Call-time pass-by-reference has been removed in C:\Apache24\htdocs\proj1\index.php on line 167
[20-Apr-2014 08:10:58 UTC] PHP Fatal error:  Call-time pass-by-reference has been removed in C:\Apache24\htdocs\proj1\index.php on line 167
[20-Apr-2014 08:10:58 UTC] PHP Fatal error:  Call-time pass-by-reference has been removed in C:\Apache24\htdocs\proj1\index.php on line 167
[20-Apr-2014 08:10:58 UTC] PHP Fatal error:  Call-time pass-by-reference has been removed in C:\Apache24\htdocs\proj1\index.php on line 167
[20-Apr-2014 08:16:43 UTC] PHP Warning:  include(./template/login_tmpr.php): failed to open stream: No such file or directory in C:\Apache24\htdocs\proj1\index.php on line 58
[20-Apr-2014 08:16:43 UTC] PHP Warning:  include(): Failed opening './template/login_tmpr.php' for inclusion (include_path='.;C:\php\pear') in C:\Apache24\htdocs\proj1\index.php on line 58
[20-Apr-2014 08:19:25 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\index.php on line 69
[20-Apr-2014 08:19:29 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\lib\common.php on line 38
[20-Apr-2014 08:22:14 UTC] PHP Parse error:  syntax error, unexpected '{' in C:\Apache24\htdocs\proj1\template\book_tmpr.php on line 29
